team,n_players,current_payroll,current_vorp,own_optimal_vorp,league_optimal_vorp,efficiency_gap,cap_efficiency,gap_rank,cap_eff_rank
OKC,14,179.8,21.5,20.7,25.4,3.9,0.1196,1,2
SAS,10,154.8,19.1,18.1,25.4,6.3,0.1234,2,1
DET,13,175.2,18.9,17.8,25.4,6.5,0.1079,3,3
BOS,11,186.5,18.7,17.8,25.4,6.7,0.1003,4,4
NYK,12,219.1,17.7,13.5,25.4,7.7,0.0808,5,8
CLE,16,221.7,16.6,13.1,25.4,8.8,0.0749,6,13
HOU,11,165.1,16.1,16.2,25.4,9.3,0.0975,7,5
DEN,14,190.5,15.6,15.1,25.4,9.8,0.0819,8,7
MIN,12,204.7,14.7,11.5,25.4,10.7,0.0718,9,14
CHO,13,150.7,14.4,14.9,25.4,11.0,0.0956,10,6
LAL,13,234.1,13.6,13.3,25.4,11.8,0.0581,11,16
TOR,10,175.8,13.6,12.4,25.4,11.8,0.0774,11,11
MIA,12,157.5,12.6,11.9,25.4,12.8,0.08,13,9
PHO,12,154.0,11.8,11.9,25.4,13.6,0.0766,14,12
POR,13,144.0,11.5,11.6,25.4,13.9,0.0799,15,10
ORL,14,194.1,11.1,9.4,25.4,14.3,0.0572,16,17
GSW,15,205.0,10.9,9.4,25.4,14.5,0.0532,17,18
ATL,16,183.8,10.7,11.8,25.4,14.7,0.0582,18,15
PHI,15,197.0,10.0,9.6,25.4,15.4,0.0508,19,19
LAC,14,184.9,8.8,8.2,25.4,16.6,0.0476,20,20
DAL,15,189.1,5.5,6.4,25.4,19.9,0.0291,21,21
NOP,15,182.2,5.1,6.0,25.4,20.3,0.028,22,22
IND,14,137.4,3.7,3.7,25.4,21.7,0.0269,23,23
MEM,14,122.6,3.1,3.1,25.4,22.3,0.0253,24,24
UTA,13,144.5,2.9,4.4,25.4,22.5,0.0201,25,25
CHI,15,170.8,2.8,5.8,25.4,22.6,0.0164,26,26
MIL,14,159.3,2.5,5.4,25.4,22.9,0.0157,27,27
SAC,14,186.2,-0.6,2.2,25.4,26.0,-0.0032,28,28
BRK,16,126.6,-1.0,0.3,25.4,26.4,-0.0079,29,29
WAS,11,99.1,-2.4,-2.4,25.4,27.8,-0.0242,30,30
